| Word_index           | Word                 | Hash_Key             | new_Hash_key         | Quadratic h-f        |
___________________________________________________________________________________________________________________
| 1                    | This                 | 78                   | 80                   | 80                   |
| 2                    | is                   | 26                   | 28                   | 28                   |
| 3                    | a                    | 0                    | 2                    | 2                    |
| 4                    | cost                 | 53                   | 55                   | 55                   |
| 5                    | effective            | 72                   | 74                   | 74                   |
| 6                    | alternative          | 116                  | 118                  | 118                  |
| 7                    | to                   | 33                   | 35                   | 35                   |
| 8                    | the                  | 30                   | 32                   | 32                   |
| 9                    | expensive            | 110                  | 112                  | 112                  |
| 10                   | real                 | 32                   | 34                   | 34                   |
| 11                   | time                 | 43                   | 45                   | 45                   |
| 12                   | medium               | 59                   | 61                   | 61                   |
| 13                   | speed                | 44                   | 46                   | 46                   |
| 14                   | digital              | 55                   | 57                   | 57                   |
| 15                   | oscilloscope         | 131                  | 133                  | 133                  |
| 16                   | However              | 115                  | 117                  | 117                  |
| 17                   | it                   | 27                   | 29                   | 29                   |
| 18                   | shown                | 74                   | 76                   | 76                   |
| 19                   | that                 | 45                   | 47                   | 47                   |
| 20                   | this                 | 52                   | 54                   | 54                   |
| 21                   | method               | 59                   | 61                   | 65                   |
| 22                   | has                  | 25                   | 27                   | 27                   |
| 23                   | some                 | 48                   | 50                   | 50                   |
| 24                   | significant          | 100                  | 102                  | 102                  |
| 25                   | limitations          | 130                  | 132                  | 132                  |
| 26                   | can                  | 15                   | 17                   | 17                   |
| 27                   | measure              | 75                   | 77                   | 77                   |
| 28                   | jitter               | 76                   | 78                   | 78                   |
| 29                   | only                 | 62                   | 64                   | 64                   |
| 30                   | up                   | 35                   | 37                   | 37                   |
| 31                   | half                 | 23                   | 25                   | 25                   |
| 32                   | of                   | 19                   | 21                   | 21                   |
| 33                   | intermediate         | 111                  | 113                  | 113                  |
| 34                   | frequency            | 105                  | 107                  | 107                  |
| 35                   | obtained             | 62                   | 64                   | 68                   |
| 36                   | from                 | 48                   | 50                   | 60                   |
| 37                   | down                 | 52                   | 54                   | 58                   |
| 38                   | shift                | 57                   | 59                   | 59                   |
| 39                   | amplified            | 66                   | 68                   | 72                   |
| 40                   | radio                | 42                   | 44                   | 44                   |
| 41                   | with                 | 56                   | 58                   | 62                   |
| 42                   | local                | 38                   | 40                   | 40                   |
| 43                   | oscillator           | 114                  | 116                  | 116                  |
| 44                   | which                | 46                   | 48                   | 48                   |
| 45                   | less                 | 51                   | 53                   | 53                   |
| 46                   | than                 | 39                   | 41                   | 41                   |
| 47                   | Nyquist              | 144                  | 146                  | 146                  |
| 48                   | dongle               | 51                   | 53                   | 63                   |
| 49                   | and                  | 16                   | 18                   | 18                   |
| 50                   | if                   | 13                   | 15                   | 15                   |
| 51                   | number               | 67                   | 69                   | 69                   |
| 52                   | samples              | 78                   | 80                   | 84                   |
| 53                   | per                  | 36                   | 38                   | 38                   |
| 54                   | cycle                | 43                   | 45                   | 49                   |
| 55                   | captured             | 80                   | 82                   | 82                   |
| 56                   | not                  | 46                   | 48                   | 52                   |
| 57                   | sufficient           | 102                  | 104                  | 104                  |
| 58                   | then                 | 43                   | 45                   | 73                   |
| 59                   | extraction           | 119                  | 121                  | 121                  |
| 60                   | does                 | 39                   | 41                   | 51                   |
| 61                   | succeed              | 53                   | 55                   | 83                   |
| 62                   | since                | 45                   | 47                   | 75                   |
| 63                   | signal               | 56                   | 58                   | 86                   |
| 64                   | properly             | 117                  | 119                  | 119                  |
| 65                   | smoothly             | 119                  | 121                  | 125                  |
| 66                   | represented          | 118                  | 120                  | 120                  |
| 67                   | Finally              | 98                   | 100                  | 100                  |
| 68                   | periodic             | 71                   | 73                   | 91                   |
| 69                   | random               | 59                   | 61                   | 71                   |
| 70                   | influence            | 80                   | 82                   | 92                   |
| 71                   | on                   | 27                   | 29                   | 33                   |
| 72                   | range                | 40                   | 42                   | 42                   |
| 73                   | measurements         | 141                  | 143                  | 143                  |
| 74                   | made                 | 19                   | 21                   | 31                   |
| 75                   | AMCW                 | 140                  | 142                  | 142                  |
| 76                   | imaging              | 53                   | 55                   | 95                   |
| 77                   | cameras              | 53                   | 55                   | 109                  |
| 78                   | are                  | 21                   | 23                   | 23                   |
| 79                   | studied              | 75                   | 77                   | 81                   |
| 80                   | An                   | 39                   | 41                   | 111                  |
| 81                   | analytical           | 88                   | 90                   | 90                   |
| 82                   | model                | 44                   | 46                   | 56                   |
| 83                   | for                  | 36                   | 38                   | 66                   |
| 84                   | under                | 57                   | 59                   | 87                   |
| 85                   | heterodyne           | 109                  | 111                  | 115                  |
| 86                   | homodyne             | 91                   | 93                   | 93                   |
| 87                   | operations           | 122                  | 124                  | 124                  |
| 88                   | in                   | 21                   | 23                   | 131                  |
| 89                   | ToF                  | 90                   | 92                   | 96                   |
| 90                   | domain               | 50                   | 52                   | 70                   |
| 91                   | The                  | 56                   | 58                   | 98                   |
| 92                   | tested               | 67                   | 69                   | 79                   |
| 93                   | through              | 90                   | 92                   | 110                  |
| 94                   | simulated            | 95                   | 97                   | 97                   |
| 95                   | data                 | 22                   | 24                   | 24                   |
| 96                   | various              | 98                   | 100                  | 128                  |
| 97                   | parameters           | 106                  | 108                  | 108                  |
| 98                   | system               | 95                   | 97                   | 101                  |
| 99                   | product              | 90                   | 92                   | 162                  |
| 100                  | angular              | 67                   | 69                   | 123                  |
| 101                  | modulation           | 114                  | 116                  | 126                  |
| 102                  | camera               | 35                   | 37                   | 145                  |
| 103                  | amplitude            | 92                   | 94                   | 94                   |
| 104                  | characteristic       | 123                  | 125                  | 129                  |
| 105                  | parameter            | 88                   | 90                   | 130                  |
| 106                  | phase                | 44                   | 46                   | 134                  |
| 107                  | error                | 69                   | 71                   | 89                   |
| 108                  | due                  | 27                   | 29                   | 39                   |
| 109                  | presence             | 77                   | 79                   | 149                  |
| 110                  | We                   | 52                   | 54                   | 99                   |
| 111                  | found                | 55                   | 57                   | 67                   |
| 112                  | currently            | 127                  | 129                  | 139                  |
| 113                  | available            | 56                   | 58                   | 3                    |
| 114                  | MHz                  | 96                   | 98                   | 138                  |
| 115                  | neither              | 72                   | 74                   | 114                  |
| 116                  | nor                  | 44                   | 46                   | 154                  |
| 117                  | measurable           | 87                   | 89                   | 159                  |
| 118                  | effect               | 39                   | 41                   | 8                    |
| 119                  | measurement          | 123                  | 125                  | 135                  |
